"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 15:36:09 GMT 2022","Tue Jun 14 15:36:10 GMT 2022","15","Integration-Tests","Produtos","TestProdutos","","","Unsuccessfully validating product by Name",""
"failed","Tue Jun 14 15:36:05 GMT 2022","Tue Jun 14 15:36:06 GMT 2022","625","Schema-Tests","Schemas","Carrinhos.TestCarrinhosSchema","","","Validate car API schema",""
"passed","Tue Jun 14 15:36:10 GMT 2022","Tue Jun 14 15:36:10 GMT 2022","14","Integration-Tests","Produtos","TestProdutos","","","Unsuccessfully validating product by Description",""
"failed","Tue Jun 14 15:36:09 GMT 2022","Tue Jun 14 15:36:09 GMT 2022","11","Integration-Tests","Login","TestLogin","","","Login with just the blank email",""
"passed","Tue Jun 14 15:36:09 GMT 2022","Tue Jun 14 15:36:09 GMT 2022","14","Integration-Tests","Produtos","TestProdutos","","","Successfully validating product by Name",""
"failed","Tue Jun 14 15:36:09 GMT 2022","Tue Jun 14 15:36:09 GMT 2022","11","Integration-Tests","Login","TestLogin","","","Login with just the blank password",""
"passed","Tue Jun 14 15:36:09 GMT 2022","Tue Jun 14 15:36:09 GMT 2022","638","Integration-Tests","Produtos","TestProdutos","","","Successfully validating product",""
"failed","Tue Jun 14 15:36:09 GMT 2022","Tue Jun 14 15:36:09 GMT 2022","11","Integration-Tests","Login","TestLogin","","","Login with an invalid email",""
"passed","Tue Jun 14 15:36:09 GMT 2022","Tue Jun 14 15:36:09 GMT 2022","15","Integration-Tests","Produtos","TestProdutos","","","Successfully validating product by ID in the URL",""
"failed","Tue Jun 14 15:36:09 GMT 2022","Tue Jun 14 15:36:09 GMT 2022","16","Integration-Tests","Login","TestLogin","","","Login with a non-exists email",""
"failed","Tue Jun 14 15:36:06 GMT 2022","Tue Jun 14 15:36:07 GMT 2022","615","Schema-Tests","Schemas","Usuarios.TestUsuariosSchema","","","Validate user API schema",""
"failed","Tue Jun 14 15:36:09 GMT 2022","Tue Jun 14 15:36:09 GMT 2022","14","Integration-Tests","Produtos","TestProdutos","","","Successfully validating product by Description And Name",""
"failed","Tue Jun 14 15:36:06 GMT 2022","Tue Jun 14 15:36:06 GMT 2022","616","Schema-Tests","Schemas","Produtos.TestProdutosSchema","","","Validate products API",""
"passed","Tue Jun 14 15:36:10 GMT 2022","Tue Jun 14 15:36:10 GMT 2022","14","Integration-Tests","Produtos","TestProdutos","","","Unsuccessfully validating product by Description And Name",""
"passed","Tue Jun 14 15:36:10 GMT 2022","Tue Jun 14 15:36:10 GMT 2022","16","Integration-Tests","Produtos","TestProdutos","","","Successfully validating that the price must be a number",""
"failed","Tue Jun 14 15:36:09 GMT 2022","Tue Jun 14 15:36:09 GMT 2022","12","Integration-Tests","Login","TestLogin","","","Login with a non-exists password",""
"passed","Tue Jun 14 15:36:10 GMT 2022","Tue Jun 14 15:36:10 GMT 2022","29","Integration-Tests","Produtos","TestProdutos","","","Successfully validating that the price must be an integer",""
"failed","Tue Jun 14 15:36:09 GMT 2022","Tue Jun 14 15:36:09 GMT 2022","64","Integration-Tests","Login","TestLogin","","","Successfully login",""
"failed","Tue Jun 14 15:36:09 GMT 2022","Tue Jun 14 15:36:09 GMT 2022","25","Integration-Tests","Login","TestLogin","","","Login with a non-exists email and password",""
"passed","Tue Jun 14 15:36:09 GMT 2022","Tue Jun 14 15:36:09 GMT 2022","13","Integration-Tests","Produtos","TestProdutos","","","Unsuccessfully validating product by ID in the URL",""
"failed","Tue Jun 14 15:36:09 GMT 2022","Tue Jun 14 15:36:09 GMT 2022","12","Integration-Tests","Login","TestLogin","","","Login with a blank email and password",""
"passed","Tue Jun 14 15:36:09 GMT 2022","Tue Jun 14 15:36:09 GMT 2022","15","Integration-Tests","Produtos","TestProdutos","","","Successfully validating product by ID",""
