"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 15 00:15:41 GMT 2022","Wed Jun 15 00:15:41 GMT 2022","15","Integration-Tests","Login","TestLogin","","","Login with a non-exists password",""
"passed","Wed Jun 15 00:15:41 GMT 2022","Wed Jun 15 00:15:41 GMT 2022","16","Integration-Tests","Login","TestLogin","","","Login with a non-exists email",""
"passed","Wed Jun 15 00:15:41 GMT 2022","Wed Jun 15 00:15:41 GMT 2022","16","Integration-Tests","Login","TestLogin","","","Login with a non-exists email and password",""
"passed","Wed Jun 15 00:15:41 GMT 2022","Wed Jun 15 00:15:41 GMT 2022","13","Integration-Tests","Produtos","TestProdutos","","","Unsuccessfully validating product by Description",""
"passed","Wed Jun 15 00:15:41 GMT 2022","Wed Jun 15 00:15:41 GMT 2022","14","Integration-Tests","Produtos","TestProdutos","","","Unsuccessfully validating product by Description And Name",""
"passed","Wed Jun 15 00:15:41 GMT 2022","Wed Jun 15 00:15:41 GMT 2022","14","Integration-Tests","Produtos","TestProdutos","","","Unsuccessfully validating product by Name",""
"passed","Wed Jun 15 00:16:02 GMT 2022","Wed Jun 15 00:16:02 GMT 2022","23","Schema-Tests","Schemas","Produtos.TestProdutosSchema","","","Validate products API",""
"passed","Wed Jun 15 00:15:41 GMT 2022","Wed Jun 15 00:15:41 GMT 2022","15","Integration-Tests","Produtos","TestProdutos","","","Successfully validating product by Name",""
"passed","Wed Jun 15 00:15:41 GMT 2022","Wed Jun 15 00:15:41 GMT 2022","13","Integration-Tests","Produtos","TestProdutos","","","Unsuccessfully validating product by ID in the URL",""
"passed","Wed Jun 15 00:15:41 GMT 2022","Wed Jun 15 00:15:41 GMT 2022","16","Integration-Tests","Login","TestLogin","","","Login with just the blank password",""
"passed","Wed Jun 15 00:15:41 GMT 2022","Wed Jun 15 00:15:41 GMT 2022","13","Integration-Tests","Produtos","TestProdutos","","","Successfully validating product by Description And Name",""
"passed","Wed Jun 15 00:15:41 GMT 2022","Wed Jun 15 00:15:41 GMT 2022","14","Integration-Tests","Produtos","TestProdutos","","","Successfully validating that the price must be an integer",""
"passed","Wed Jun 15 00:16:02 GMT 2022","Wed Jun 15 00:16:02 GMT 2022","41","Schema-Tests","Schemas","Carrinhos.TestCarrinhosSchema","","","Validate car API schema",""
"passed","Wed Jun 15 00:15:41 GMT 2022","Wed Jun 15 00:15:41 GMT 2022","21","Integration-Tests","Produtos","TestProdutos","","","Successfully validating product",""
"passed","Wed Jun 15 00:15:41 GMT 2022","Wed Jun 15 00:15:41 GMT 2022","52","Integration-Tests","Login","TestLogin","","","Successfully login",""
"passed","Wed Jun 15 00:16:02 GMT 2022","Wed Jun 15 00:16:02 GMT 2022","19","Schema-Tests","Schemas","Usuarios.TestUsuariosSchema","","","Validate user API schema",""
"passed","Wed Jun 15 00:15:41 GMT 2022","Wed Jun 15 00:15:41 GMT 2022","18","Integration-Tests","Login","TestLogin","","","Login with an invalid email",""
"passed","Wed Jun 15 00:15:41 GMT 2022","Wed Jun 15 00:15:41 GMT 2022","15","Integration-Tests","Produtos","TestProdutos","","","Successfully validating product by ID",""
"passed","Wed Jun 15 00:15:41 GMT 2022","Wed Jun 15 00:15:41 GMT 2022","33","Integration-Tests","Produtos","TestProdutos","","","Successfully validating product by ID in the URL",""
"passed","Wed Jun 15 00:15:41 GMT 2022","Wed Jun 15 00:15:41 GMT 2022","15","Integration-Tests","Produtos","TestProdutos","","","Successfully validating that the price must be a number",""
"passed","Wed Jun 15 00:15:41 GMT 2022","Wed Jun 15 00:15:41 GMT 2022","16","Integration-Tests","Login","TestLogin","","","Login with a blank email and password",""
"passed","Wed Jun 15 00:15:41 GMT 2022","Wed Jun 15 00:15:41 GMT 2022","16","Integration-Tests","Login","TestLogin","","","Login with just the blank email",""
