"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 14:42:24 GMT 2022","Tue Jun 14 14:42:25 GMT 2022","97","Integration-Tests","Produtos","TestProdutos","","","Unsuccessfully validating product by Description",""
"failed","Tue Jun 14 14:42:24 GMT 2022","Tue Jun 14 14:42:24 GMT 2022","97","Integration-Tests","Produtos","TestProdutos","","","Successfully validating product by Description And Name",""
"passed","Tue Jun 14 14:42:24 GMT 2022","Tue Jun 14 14:42:24 GMT 2022","102","Integration-Tests","Produtos","TestProdutos","","","Successfully validating product",""
"passed","Tue Jun 14 14:42:24 GMT 2022","Tue Jun 14 14:42:24 GMT 2022","102","Integration-Tests","Produtos","TestProdutos","","","Unsuccessfully validating product by Name",""
"passed","Tue Jun 14 14:42:23 GMT 2022","Tue Jun 14 14:42:23 GMT 2022","99","Integration-Tests","Login","TestLogin","","","Login with just the blank email",""
"passed","Tue Jun 14 14:42:23 GMT 2022","Tue Jun 14 14:42:23 GMT 2022","98","Integration-Tests","Login","TestLogin","","","Login with a non-exists email and password",""
"passed","Tue Jun 14 14:42:24 GMT 2022","Tue Jun 14 14:42:24 GMT 2022","93","Integration-Tests","Produtos","TestProdutos","","","Unsuccessfully validating product by ID in the URL",""
"passed","Tue Jun 14 14:42:25 GMT 2022","Tue Jun 14 14:42:25 GMT 2022","107","Integration-Tests","Produtos","TestProdutos","","","Successfully validating that the price must be an integer",""
"passed","Tue Jun 14 14:42:22 GMT 2022","Tue Jun 14 14:42:22 GMT 2022","138","Schema-Tests","Schemas","Carrinhos.TestCarrinhosSchema","","","Validate car API schema",""
"passed","Tue Jun 14 14:42:23 GMT 2022","Tue Jun 14 14:42:23 GMT 2022","100","Integration-Tests","Login","TestLogin","","","Login with an invalid email",""
"passed","Tue Jun 14 14:42:23 GMT 2022","Tue Jun 14 14:42:23 GMT 2022","171","Integration-Tests","Login","TestLogin","","","Successfully login",""
"passed","Tue Jun 14 14:42:23 GMT 2022","Tue Jun 14 14:42:23 GMT 2022","86","Schema-Tests","Schemas","Usuarios.TestUsuariosSchema","","","Validate user API schema",""
"passed","Tue Jun 14 14:42:24 GMT 2022","Tue Jun 14 14:42:24 GMT 2022","103","Integration-Tests","Login","TestLogin","","","Login with a blank email and password",""
"failed","Tue Jun 14 14:42:24 GMT 2022","Tue Jun 14 14:42:24 GMT 2022","98","Integration-Tests","Produtos","TestProdutos","","","Successfully validating product by ID",""
"passed","Tue Jun 14 14:42:25 GMT 2022","Tue Jun 14 14:42:25 GMT 2022","98","Integration-Tests","Produtos","TestProdutos","","","Unsuccessfully validating product by Description And Name",""
"passed","Tue Jun 14 14:42:23 GMT 2022","Tue Jun 14 14:42:23 GMT 2022","101","Integration-Tests","Login","TestLogin","","","Login with a non-exists password",""
"failed","Tue Jun 14 14:42:24 GMT 2022","Tue Jun 14 14:42:24 GMT 2022","97","Integration-Tests","Produtos","TestProdutos","","","Successfully validating product by Name",""
"passed","Tue Jun 14 14:42:24 GMT 2022","Tue Jun 14 14:42:24 GMT 2022","98","Integration-Tests","Produtos","TestProdutos","","","Successfully validating product by ID in the URL",""
"passed","Tue Jun 14 14:42:23 GMT 2022","Tue Jun 14 14:42:23 GMT 2022","97","Integration-Tests","Login","TestLogin","","","Login with a non-exists email",""
"passed","Tue Jun 14 14:42:22 GMT 2022","Tue Jun 14 14:42:23 GMT 2022","87","Schema-Tests","Schemas","Produtos.TestProdutosSchema","","","Validate products API",""
"passed","Tue Jun 14 14:42:23 GMT 2022","Tue Jun 14 14:42:24 GMT 2022","98","Integration-Tests","Login","TestLogin","","","Login with just the blank password",""
"passed","Tue Jun 14 14:42:25 GMT 2022","Tue Jun 14 14:42:25 GMT 2022","106","Integration-Tests","Produtos","TestProdutos","","","Successfully validating that the price must be a number",""
