"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 14 00:07:48 GMT 2022","Tue Jun 14 00:07:48 GMT 2022","12","Integration-Tests","Login","TestLogin","","","Login with just the blank email",""
"passed","Tue Jun 14 00:07:43 GMT 2022","Tue Jun 14 00:07:43 GMT 2022","20","","Schema-Tests","TestProdutosSchema","","","Validate products API",""
"passed","Tue Jun 14 00:07:43 GMT 2022","Tue Jun 14 00:07:43 GMT 2022","18","","Schema-Tests","TestUsuariosSchema","","","Validate user API schema",""
"failed","Tue Jun 14 00:07:48 GMT 2022","Tue Jun 14 00:07:48 GMT 2022","12","Integration-Tests","Login","TestLogin","","","Login with just the blank password",""
"failed","Tue Jun 14 00:07:48 GMT 2022","Tue Jun 14 00:07:48 GMT 2022","12","Integration-Tests","Login","TestLogin","","","Login with an invalid email",""
"failed","Tue Jun 14 00:07:48 GMT 2022","Tue Jun 14 00:07:48 GMT 2022","42","Integration-Tests","Login","TestLogin","","","Successfully login",""
"failed","Tue Jun 14 00:07:48 GMT 2022","Tue Jun 14 00:07:48 GMT 2022","13","Integration-Tests","Login","TestLogin","","","Login with a blank email and password",""
"passed","Tue Jun 14 00:07:42 GMT 2022","Tue Jun 14 00:07:43 GMT 2022","652","","Schema-Tests","TestCarrinhosSchema","","","Validate car API schema",""
"failed","Tue Jun 14 00:07:48 GMT 2022","Tue Jun 14 00:07:48 GMT 2022","15","Integration-Tests","Login","TestLogin","","","Login with a non-exists password",""
"failed","Tue Jun 14 00:07:48 GMT 2022","Tue Jun 14 00:07:48 GMT 2022","17","Integration-Tests","Login","TestLogin","","","Login with a non-exists email",""
"failed","Tue Jun 14 00:07:48 GMT 2022","Tue Jun 14 00:07:48 GMT 2022","16","Integration-Tests","Login","TestLogin","","","Login with a non-exists email and password",""
