"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 07 00:13:02 GMT 2022","Tue Jun 07 00:13:02 GMT 2022","113","Integration-Tests","Login","TestLogin","","","Login with a non-exists email",""
"passed","Tue Jun 07 00:13:02 GMT 2022","Tue Jun 07 00:13:03 GMT 2022","115","Integration-Tests","Login","TestLogin","","","Login with just the blank email",""
"passed","Tue Jun 07 00:13:02 GMT 2022","Tue Jun 07 00:13:02 GMT 2022","271","Integration-Tests","Login","TestLogin","","","Successfully login",""
"passed","Tue Jun 07 00:13:03 GMT 2022","Tue Jun 07 00:13:03 GMT 2022","119","Integration-Tests","Login","TestLogin","","","Login with a blank email and password",""
"passed","Tue Jun 07 00:13:03 GMT 2022","Tue Jun 07 00:13:03 GMT 2022","112","Integration-Tests","Login","TestLogin","","","Login with just the blank password",""
"passed","Tue Jun 07 00:13:02 GMT 2022","Tue Jun 07 00:13:02 GMT 2022","126","Integration-Tests","Login","TestLogin","","","Login with an invalid email",""
"passed","Tue Jun 07 00:12:57 GMT 2022","Tue Jun 07 00:12:57 GMT 2022","120","","Schema-Tests","TestUsuariosSchema","","","Validate user API schema",""
"passed","Tue Jun 07 00:13:02 GMT 2022","Tue Jun 07 00:13:02 GMT 2022","117","Integration-Tests","Login","TestLogin","","","Login with a non-exists email and password",""
"passed","Tue Jun 07 00:12:57 GMT 2022","Tue Jun 07 00:12:57 GMT 2022","117","","Schema-Tests","TestProdutosSchema","","","Validate products API",""
"passed","Tue Jun 07 00:13:02 GMT 2022","Tue Jun 07 00:13:02 GMT 2022","123","Integration-Tests","Login","TestLogin","","","Login with a non-exists password",""
"passed","Tue Jun 07 00:12:56 GMT 2022","Tue Jun 07 00:12:57 GMT 2022","247","","Schema-Tests","TestCarrinhosSchema","","","Validate car API schema",""
