"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 14 14:31:54 GMT 2022","Tue Jun 14 14:31:54 GMT 2022","85","Integration-Tests","Login","TestLogin","","","Successfully login",""
"failed","Tue Jun 14 14:31:26 GMT 2022","Tue Jun 14 14:31:26 GMT 2022","618","Schema-Tests","Schemas","Usuarios.TestUsuariosSchema","","","Validate user API schema",""
"failed","Tue Jun 14 14:31:54 GMT 2022","Tue Jun 14 14:31:54 GMT 2022","14","Integration-Tests","Login","TestLogin","","","Login with a non-exists email and password",""
"failed","Tue Jun 14 14:32:01 GMT 2022","Tue Jun 14 14:32:01 GMT 2022","616","Integration-Tests","Produtos","TestProdutos","","","Unsuccessfully validating product by Description And Name",""
"failed","Tue Jun 14 14:31:58 GMT 2022","Tue Jun 14 14:31:59 GMT 2022","617","Integration-Tests","Produtos","TestProdutos","","","Unsuccessfully validating product by Name",""
"failed","Tue Jun 14 14:31:59 GMT 2022","Tue Jun 14 14:32:00 GMT 2022","617","Integration-Tests","Produtos","TestProdutos","","","Successfully validating that the price must be a number",""
"failed","Tue Jun 14 14:31:24 GMT 2022","Tue Jun 14 14:31:25 GMT 2022","649","Schema-Tests","Schemas","Carrinhos.TestCarrinhosSchema","","","Validate car API schema",""
"failed","Tue Jun 14 14:31:25 GMT 2022","Tue Jun 14 14:31:26 GMT 2022","626","Schema-Tests","Schemas","Produtos.TestProdutosSchema","","","Validate products API",""
"failed","Tue Jun 14 14:31:56 GMT 2022","Tue Jun 14 14:31:56 GMT 2022","617","Integration-Tests","Produtos","TestProdutos","","","Successfully validating product by ID",""
"failed","Tue Jun 14 14:31:54 GMT 2022","Tue Jun 14 14:31:54 GMT 2022","18","Integration-Tests","Login","TestLogin","","","Login with a non-exists password",""
"failed","Tue Jun 14 14:31:54 GMT 2022","Tue Jun 14 14:31:55 GMT 2022","615","Integration-Tests","Produtos","TestProdutos","","","Successfully validating product",""
"failed","Tue Jun 14 14:31:54 GMT 2022","Tue Jun 14 14:31:54 GMT 2022","16","Integration-Tests","Login","TestLogin","","","Login with an invalid email",""
"failed","Tue Jun 14 14:31:54 GMT 2022","Tue Jun 14 14:31:54 GMT 2022","11","Integration-Tests","Login","TestLogin","","","Login with just the blank password",""
"failed","Tue Jun 14 14:31:57 GMT 2022","Tue Jun 14 14:31:58 GMT 2022","616","Integration-Tests","Produtos","TestProdutos","","","Successfully validating product by Description And Name",""
"failed","Tue Jun 14 14:31:54 GMT 2022","Tue Jun 14 14:31:54 GMT 2022","15","Integration-Tests","Login","TestLogin","","","Login with just the blank email",""
"failed","Tue Jun 14 14:32:00 GMT 2022","Tue Jun 14 14:32:01 GMT 2022","617","Integration-Tests","Produtos","TestProdutos","","","Successfully validating that the price must be an integer",""
"failed","Tue Jun 14 14:31:56 GMT 2022","Tue Jun 14 14:31:57 GMT 2022","616","Integration-Tests","Produtos","TestProdutos","","","Successfully validating product by Name",""
"failed","Tue Jun 14 14:31:54 GMT 2022","Tue Jun 14 14:31:54 GMT 2022","11","Integration-Tests","Login","TestLogin","","","Login with a blank email and password",""
"failed","Tue Jun 14 14:31:58 GMT 2022","Tue Jun 14 14:31:58 GMT 2022","616","Integration-Tests","Produtos","TestProdutos","","","Unsuccessfully validating product by ID in the URL",""
"failed","Tue Jun 14 14:31:55 GMT 2022","Tue Jun 14 14:31:56 GMT 2022","617","Integration-Tests","Produtos","TestProdutos","","","Successfully validating product by ID in the URL",""
"failed","Tue Jun 14 14:31:54 GMT 2022","Tue Jun 14 14:31:54 GMT 2022","19","Integration-Tests","Login","TestLogin","","","Login with a non-exists email",""
"failed","Tue Jun 14 14:31:59 GMT 2022","Tue Jun 14 14:31:59 GMT 2022","617","Integration-Tests","Produtos","TestProdutos","","","Unsuccessfully validating product by Description",""
